G1,G2,Subject,No,Data1,Data2,Data3,Labels
post1,mirt,dish7,n0,0.840853572,0.092229269,0.066917181,0
post1,mirt,dish7,n1,0.83797282,0.067466892,0.094560266,0
post1,mirt,dish7,n2,0.644251823,0.040889438,0.314858794,0
post1,mirt,dish7,n3,0.544638216,0.412051708,0.04331011,0
post1,mirt,dish7,n4,0.888420582,0.041688226,0.069891185,0
post1,mirt,dish7,n5,0.867415726,0.094581328,0.038002934,0
post1,mirt,dish7,n6,0.205802947,0.250981659,0.543215454,2
post1,mirt,dish7,n7,0.695383847,0.088822328,0.215793848,0
post1,mirt,dish7,n8,0.449901968,0.494803071,0.055294923,1
post1,mirt,dish7,n9,0.708765149,0.039372124,0.251862735,0
post1,mirt,dish7,n10,0.475290388,0.051631436,0.473078221,0
post1,mirt,dish7,n11,0.53879869,0.366880983,0.094320297,0
post1,mirt,dish9,n0,0.605499446,0.077946261,0.316554308,0
post1,mirt,dish9,n1,0.862648845,0.040180635,0.097170517,0
post1,mirt,dish9,n2,0.434531361,0.501607895,0.063860774,1
post1,mirt,dish9,n3,0.421156406,0.113495491,0.465348125,2
post1,mirt,dish9,n4,0.825701535,0.043198619,0.131099805,0
post1,mirt,dish9,n5,0.311457157,0.659155846,0.029387105,1
post1,mirt,dish9,n6,0.091703489,0.019974958,0.888321459,2
post1,mirt,dish9,n7,0.445423692,0.524603546,0.029972756,1
post1,mirt,dish9,n8,0.243196875,0.053454056,0.703348994,2
post1,mirt,dish9,n9,0.078081824,0.904357135,0.017561067,1
post1,mirt,dish9,n10,0.426720947,0.024857635,0.548421443,2
post1,mirt,dish9,n11,0.65783757,0.201598167,0.140564263,0
post1,tryp,dish3,n0,0.854468167,0.122263364,0.023268562,0
post1,tryp,dish3,n1,0.429123044,0.379542321,0.191334635,0
post1,tryp,dish3,n2,0.837102115,0.1396835,0.023214297,0
post1,tryp,dish3,n3,0.82327354,0.039065514,0.137660906,0
post1,tryp,dish3,n4,0.712304175,0.125364453,0.162331417,0
post1,tryp,dish3,n5,0.844163775,0.111192904,0.044643372,0
post1,tryp,dish3,n6,0.465915203,0.035456348,0.498628408,2
post1,tryp,dish3,n7,0.472928703,0.48287347,0.044197869,1
post1,tryp,dish3,n8,0.605288267,0.106777772,0.287933886,0
post1,tryp,dish3,n9,0.486428022,0.080212496,0.433359444,0
post1,tryp,dish3,n10,0.193089798,0.723708272,0.083201945,1
post1,tryp,dish3,n11,0.873144448,0.02937438,0.097481176,0
post2,control,dish1,n0,0.50845623,0.030385075,0.461158752,0
post2,control,dish1,n1,0.214938059,0.104072213,0.680989802,2
post2,control,dish1,n2,0.216786817,0.766126275,0.017086985,1
post2,control,dish1,n3,0.579245269,0.017776329,0.40297845,0
post2,control,dish1,n4,0.803481877,0.115320012,0.081198104,0
